subject_id,year_in_study,record_date,sleep_location,specific_sleep_location,bed_filling,bed_filling_specify,foam_bed,furniture_finish,furniture_finish_specify,floor_finish,floor_finish_specify,crate_material,crate_material_specify,bedding_material,bedding_material_specify,dog_bed_filling,dog_bed_filling_specify,dog_house_bedding,dog_house_bedding_specify,dog_house_material,dog_house_material_specify,dog_bed_foam,natural_surface,natural_surface_specify
grls01C2L8RR,6,2020-08,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls01C2L8RR,6,2020-08,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls01C2L8RR,6,2020-08,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls01C2L8RR,6,2020-08,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01C2L8RR,7,2021-08,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls01C2L8RR,7,2021-08,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls01C2L8RR,7,2021-08,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01LNL888,0,2013-05,In the house,On a dog bed,,,,,,,,,,,,,,,,,,,,
grls01LNL888,1,2014-09,In the house,On the floor,,,,,,Other,"Carpet, Couch, Hardwood",,,,,,,,,,,,,
grls01LNL888,1,2014-09,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01LNL888,2,2015-10,In the house,On the floor,,,,,,Other,"Carpet, Hardwood, Tile",,,,,,,,,,,,,
grls01LNL888,2,2015-10,In the house,On furniture,,,,Other,"Bed, Blanket/Sheet, Carpet, Dog bed",,,,,,,,,,,,,,,
grls01LNL888,3,2016-10,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01LNL888,3,2016-10,In the house,On the floor,,,,,,Other,"Carpet, Hardwood, Tile",,,,,,,,,,,,,
grls01LNL888,3,2016-10,In the house,On a dog bed,Other,"Memory foam, Polyester fill",,,,,,,,,,,,,,,,,,
grls01LNL888,3,2016-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls01LNL888,4,2017-10,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01LNL888,4,2017-10,In the house,On a dog bed,Other,"Dog bed, Memory foam",,,,,,,,,,,,,,,,,,
grls01LNL888,4,2017-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls01LNL888,5,2018-10,In the house,On the floor,,,,,,Other,"Carpet, Dog bed, Hardwood",,,,,,,,,,,,,
grls01LNL888,5,2018-10,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01LNL888,6,2019-10,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls01LNL888,6,2019-10,In the house,On the floor,,,,,,Other,"Carpet, Hardwood, Tile",,,,,,,,,,,,,
grls01LNL888,6,2019-10,In the house,On a dog bed,Other,"Cedar fill, Polyester fill",,,,,,,,,,,,,,,,,,
grls01LNL888,6,2019-10,In the house,On the floor,,,,,,Other,"Bed, Carpet, Dog bed",,,,,,,,,,,,,
grls01LNL888,7,2020-10,In the house,On the floor,,,,,,Other,"Carpet, Hardwood",,,,,,,,,,,,,
grls01LNL888,7,2020-10,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01LNL888,7,2020-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls01LNL888,7,2020-10,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls01RDAKNN,0,2014-11,In the house,Indoor crate,,,,,,,,,,,,,,,,,,,,
grls01RDAKNN,1,2016-01,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls01RDAKNN,1,2016-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01RDAKNN,2,2017-01,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls01RDAKNN,2,2017-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01RDAKNN,3,2018-01,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls01RDAKNN,3,2018-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01RDAKNN,4,2018-12,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls01RDAKNN,4,2018-12,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01RDAKNN,5,2019-12,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls01RDAKNN,5,2019-12,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01RDAKNN,6,2020-12,In the house,On the floor,,,,,,,,,,,,,,,,,,,,
grls01RDAKNN,6,2020-12,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls01RDAKNN,7,2021-12,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls01RDAKNN,7,2021-12,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls020IW1ZZ,0,2015-01,In the house,On a dog bed,,,,,,,,,,,,,,,,,,,,
grls020IW1ZZ,1,2016-01,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls020IW1ZZ,1,2016-01,In the house,On a dog bed,Other,Memory foam,,,,,,,,,,,,,,,,,,
grls020IW1ZZ,2,2017-01,Outside,Natural outdoor surface,,,,,,,,,,,,,,,,,,,Grass,
grls020IW1ZZ,2,2017-01,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls020IW1ZZ,3,2018-02,In the house,On the floor,,,,,,Tile,,,,,,,,,,,,,,
grls020IW1ZZ,3,2018-02,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls020IW1ZZ,4,2019-01,In the house,On a dog bed,Other,Memory foam,,,,,,,,,,,,,,,,,,
grls020IW1ZZ,4,2019-01,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls020IW1ZZ,5,2020-01,In the house,On a dog bed,Other,Memory foam,,,,,,,,,,,,,,,,,,
grls020IW1ZZ,5,2020-01,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls020IW1ZZ,6,2021-02,In the house,On furniture,,,,Other,Towel,,,,,,,,,,,,,,,
grls020IW1ZZ,6,2021-02,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls020IW1ZZ,6,2021-02,In the house,On the floor,,,,,,Tile,,,,,,,,,,,,,,
grls020IW1ZZ,6,2021-02,In the house,On a dog bed,Other,Memory foam,,,,,,,,,,,,,,,,,,
grls02RRJK88,0,2013-05,In the house,Indoor crate,,,,,,,,,,,,,,,,,,,,
grls02RRJK88,1,2014-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls02RRJK88,2,2015-07,In the garage,Confined to a crate/kennel,,,,,,,,Other,Fabric,Dog bed,,Polyester fill,,,,,,,,
grls02RRJK88,2,2015-07,In the garage,Confined to a crate/kennel,,,,,,,,Metal,,Dog bed,,Polyester fill,,,,,,,,
grls02RRJK88,3,2016-07,In the garage,Confined to a crate/kennel,,,,,,,,Plastic,,Dog bed,,Polyester fill,,,,,,,,
grls02RRJK88,4,2017-07,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls02RRJK88,5,2018-08,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls02RRJK88,6,2019-08,Outside,Dog house,,,,,,,,,,Natural surface,,,,,,Plastic,,,Grass,
grls02RRJK88,6,2019-08,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls02VDCV99,0,2012-09,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls02VDCV99,1,2014-01,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls02VDCV99,1,2014-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls02VDCV99,2,2015-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls02VDCV99,3,2016-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls02VDCV99,4,2017-01,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls02VDCV99,4,2017-01,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls02VDCV99,4,2017-01,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls02VDCV99,4,2017-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls02VDCV99,5,2018-01,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls02VDCV99,5,2018-01,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls02VDCV99,5,2018-01,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls02VDCV99,5,2018-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls02VDCV99,6,2019-01,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls02VDCV99,6,2019-01,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls02VDCV99,6,2019-01,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls02VDCV99,6,2019-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls02VDCV99,7,2020-01,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls02VDCV99,7,2020-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls03L3L1FF,0,2013-10,In the house,On a dog bed,,,,,,,,,,,,,,,,,,,,
grls03L3L1FF,1,2014-12,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls03MTKHLL,0,2014-02,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls03MTKHLL,1,2015-04,In the house,On the floor,,,,,,Laminate,,,,,,,,,,,,,,
grls03MTKHLL,1,2015-04,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls03MTKHLL,2,2016-03,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls03MTKHLL,3,2017-03,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls03MTKHLL,4,2018-04,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls03MTKHLL,5,2019-03,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls03MTKHLL,6,2020-03,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls03MTKHLL,7,2021-04,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls03MTKHLL,7,2021-04,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls03UREW44,0,2014-04,In the house,On a dog bed,,,,,,,,,,,,,,,,,,,,
grls03UREW44,1,2015-06,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls03UREW44,1,2015-06,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls03UREW44,2,2016-05,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls03UREW44,4,2018-05,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls03UREW44,4,2018-05,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls03UREW44,5,2019-06,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls03UREW44,5,2019-06,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls03UREW44,5,2019-06,In the house,On a dog bed,Cedar fill,,,,,,,,,,,,,,,,,,,
grls03UREW44,7,2021-06,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls03UREW44,7,2021-06,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls03UREW44,7,2021-06,In the house,On the floor,,,,,,Laminate,,,,,,,,,,,,,,
grls0449M0EE,0,2013-11,In the garage,,,,,,,,,,,,,,,,,,,,,
grls04DN2S55,0,2014-10,In the house,Indoor crate,,,,,,,,,,,,,,,,,,,,
grls04DN2S55,1,2015-11,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls04DN2S55,3,2017-12,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls04DN2S55,3,2017-12,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls04DN2S55,4,2018-12,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls04DN2S55,7,2021-11,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls04DN2S55,7,2021-11,In the house,On the floor,,,,,,Laminate,,,,,,,,,,,,,,
grls04KX35EE,0,2012-12,In the house,On a dog bed,,,,,,,,,,,,,,,,,,,,
grls04KX35EE,1,2013-11,In the house,On the floor,,,,,,Tile,,,,,,,,,,,,,,
grls04KX35EE,1,2013-11,In the house,On a dog bed,Other,Memory foam,,,,,,,,,,,,,,,,,,
grls04KX35EE,2,2014-12,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls04KX35EE,2,2014-12,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls04KX35EE,3,2015-12,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls04KX35EE,3,2015-12,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls04KX35EE,4,2016-12,In the house,On a dog bed,Other,Memory foam,,,,,,,,,,,,,,,,,,
grls04KX35EE,4,2016-12,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls04KX35EE,5,2017-12,In the house,On the floor,,,,,,Tile,,,,,,,,,,,,,,
grls04KX35EE,5,2017-12,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls04KX35EE,6,2018-12,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls04KX35EE,6,2018-12,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls04KX35EE,7,2019-12,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls04KX35EE,7,2019-12,In the house,On the floor,,,,,,Tile,,,,,,,,,,,,,,
grls04O1IQ00,0,2014-11,In the house,Indoor crate,,,,,,,,,,,,,,,,,,,,
grls04O1IQ00,1,2015-10,In the house,On the floor,,,,,,Tile,,,,,,,,,,,,,,
grls04O1IQ00,1,2015-10,In the house,Confined to a crate/kennel,,,,,,,,Metal,,None,,,,,,,,,,
grls04O1IQ00,2,2016-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls04O1IQ00,2,2016-10,In the house,Confined to a crate/kennel,,,,,,,,Metal,,None,,,,,,,,,,
grls04O1IQ00,3,2017-10,In the house,Confined to a crate/kennel,,,,,,,,Metal,,Dog bed,,Foam,,,,,,With a cover,,
grls04O1IQ00,4,2018-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls04O1IQ00,4,2018-10,In the house,Confined to a crate/kennel,,,,,,,,Metal,,Dog bed,,Polyester fill,,,,,,,,
grls04O1IQ00,5,2019-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls04O1IQ00,5,2019-10,In the house,On the floor,,,,,,Tile,,,,,,,,,,,,,,
grls04O1IQ00,5,2019-10,In the house,Confined to a crate/kennel,,,,,,,,Metal,,Dog bed,,Polyester fill,,,,,,,,
grls04O1IQ00,6,2020-12,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls04O1IQ00,7,2021-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls04O1IQ00,7,2021-10,In the house,On the floor,,,,,,Tile,,,,,,,,,,,,,,
grls053MV8EE,0,2014-01,Outside,,,,,,,,,,,,,,,,,,,,,
grls056TCYEE,0,2014-10,In the house,On a dog bed,,,,,,,,,,,,,,,,,,,,
grls05BPCYNN,0,2013-09,In the house,Indoor crate,,,,,,,,,,,,,,,,,,,,
grls05BPCYNN,1,2014-09,In the house,Confined to a crate/kennel,,,,,,,,Metal,,Dog bed,,Foam,,,,,,With a cover,,
grls05BPCYNN,2,2015-09,In the house,Confined to a crate/kennel,,,,,,,,Metal,,Dog bed,,Polyester fill,,,,,,,,
grls05BPCYNN,3,2016-09,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls05BPCYNN,3,2016-09,In the house,Confined to a crate/kennel,,,,,,,,Metal,,Dog bed,,Foam,,,,,,With a cover,,
grls05BPCYNN,4,2017-09,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls05BPCYNN,4,2017-09,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls05BPCYNN,4,2017-09,In the house,Confined to a crate/kennel,,,,,,,,Metal,,Dog bed,,Foam,,,,,,With a cover,,
grls05BPCYNN,5,2018-09,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls05BPCYNN,6,2019-11,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls05BPCYNN,6,2019-11,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls05BPCYNN,6,2019-11,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls05BPCYNN,7,2020-10,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls05BPCYNN,7,2020-10,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls05BPCYNN,7,2020-10,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls06YF0BSS,0,2013-05,In the house,Indoor crate,,,,,,,,,,,,,,,,,,,,
grls06YF0BSS,1,2014-02,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls06YF0BSS,2,2015-05,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls06YF0BSS,3,2016-05,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls06YF0BSS,4,2017-06,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls06YF0BSS,4,2017-06,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls06YF0BSS,5,2018-04,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls06YF0BSS,5,2018-04,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls06YF0BSS,5,2018-04,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls06YF0BSS,5,2018-04,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls06YF0BSS,6,2019-04,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls06YF0BSS,6,2019-04,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls06YF0BSS,7,2020-05,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls0762M2FF,0,2014-05,In the house,Indoor crate,,,,,,,,,,,,,,,,,,,,
grls0762M2FF,1,2015-05,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls0762M2FF,1,2015-05,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls0762M2FF,2,2016-06,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls0762M2FF,2,2016-06,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls0762M2FF,3,2017-05,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls0762M2FF,3,2017-05,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls0762M2FF,3,2017-05,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls0762M2FF,3,2017-05,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls0762M2FF,4,2018-05,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls0762M2FF,4,2018-05,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls0762M2FF,4,2018-05,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls0762M2FF,4,2018-05,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls0762M2FF,4,2018-05,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls0762M2FF,5,2019-06,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls0762M2FF,5,2019-06,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls0762M2FF,7,2021-05,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls0762M2FF,7,2021-05,In the house,On the floor,,,,,,Other,Stone,,,,,,,,,,,,,
grls0762M2FF,7,2021-05,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls08SO0S44,0,2015-01,In the house,On a dog bed,,,,,,,,,,,,,,,,,,,,
grls08SO0S44,1,2016-01,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls08SO0S44,2,2017-01,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls08SO0S44,3,2018-01,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls08SO0S44,4,2019-01,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls08SO0S44,4,2019-01,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls08SO0S44,5,2020-01,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls08SO0S44,5,2020-01,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls08SO0S44,6,2021-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls08SO0S44,6,2021-01,In the house,On a dog bed,,,,,,,,,,,,,,,,,,,,
grls08SO0S44,6,2021-01,In the house,On a dog bed,Foam,,,,,,,,,,,,,,,,,,,
grls08SO0S44,7,2022-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls08SO0S44,7,2022-01,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls08SO0S44,7,2022-01,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls09FYB3II,0,2014-08,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls09FYB3II,1,2015-10,In the house,Confined to a crate/kennel,,,,,,,,Plastic,,None,,,,,,,,,,
grls09FYB3II,1,2015-10,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls09FYB3II,2,2016-10,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls09FYB3II,2,2016-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls09FYB3II,3,2017-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls09FYB3II,3,2017-10,In the house,On a dog bed,Polyester fill,,,,,,,,,,,,,,,,,,,
grls09FYB3II,4,2018-10,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls09FYB3II,4,2018-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls09FYB3II,5,2019-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls09FYB3II,6,2020-10,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls09FYB3II,6,2020-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls09FYB3II,7,2021-10,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls09FYB3II,7,2021-10,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
grls09FYB3II,7,2021-10,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls09ZIN1OO,0,2015-01,In the house,On a dog bed,,,,,,,,,,,,,,,,,,,,
grls09ZIN1OO,1,2015-12,In the house,On the floor,,,,,,Carpet,,,,,,,,,,,,,,
grls09ZIN1OO,1,2015-12,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls09ZIN1OO,2,2017-01,In the house,On furniture,,,,Upholstered,,,,,,,,,,,,,,,,
grls09ZIN1OO,2,2017-01,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls09ZIN1OO,3,2017-12,In the house,On your bed,,,,,,,,,,,,,,,,,,,,
grls09ZIN1OO,3,2017-12,In the house,On a dog bed,Foam,,With a cover,,,,,,,,,,,,,,,,,
grls09ZIN1OO,3,2017-12,In the house,On the floor,,,,,,Hardwood,,,,,,,,,,,,,,
grls09ZIN1OO,3,2017-12,In the house,On furniture,,,,Leather,,,,,,,,,,,,,,,,
