subject_id,year_in_study,record_date,substance,PoisonControlLastYear,PoisonControlMoreThanTwice
grlsPGZBI4BB,0,2014-09,"clothing - sock, plastic",1,0
grlsPHP5TVTT,0,2014-10,carpet,1,0
grlsPJGEUQSS,0,2014-03,toy stuffing,1,0
grlsPJVPX6LL,2,2016-06,"xylitol, silicone",1,0
grlsPWQFUS00,0,2013-09,rocks,1,0
grlsPYFB000,3,2016-03,garlic,1,0
grlsQ1GRGQ44,6,2021-05,medication - advil,1,0
grlsQ1PRHFQQ,0,2014-02,bird suet,1,0
grlsQ1PRHFQQ,1,2015-02,bird suet,1,0
grlsQ1PRHFQQ,2,2016-02,bird suet,1,0
grlsQ1S4CRTT,3,2016-07,wasp pheromones,1,0
grlsQ317XJZZ,0,2013-05,tobacco,1,0
grlsQ3H96F99,5,2019-04,rodent poison,1,0
grlsQ92M8HH,7,2021-07,lawn fungicide,1,0
grlsQBJLDZUU,7,2020-02,plastic,1,0
grlsQG4TPYII,1,2015-03,chocolate brownies,1,0
grlsQIDG6VLL,2,2015-10,sharon flowers,1,0
grlsQKDCE6JJ,1,2016-01,soap,1,0
grlsQKDCE6JJ,4,2019-02,"bulb, medication - unspecified medication",1,0
grlsQKO57ROO,0,2013-01,copper,1,0
grlsQKOQHW88,0,2014-08,2-stroke injector oil,1,0
grlsQKOQHW88,1,2015-08,butane lighter,1,0
grlsQKOQHW88,2,2016-09,medication - zantac,1,0
grlsQMG3YIQQ,0,2013-09,"clothing - sock, clothing - underwear",1,0
grlsQOZ5CYTT,0,2014-09,insect poison,1,0
grlsQQ8ZEH66,4,2018-05,denture cleaner,1,0
grlsQVYRH955,0,2014-01,rodent poison,1,0
grlsQYANCO00,1,2016-01,garlic,1,0
grlsQYVH1XNN,3,2016-06,marijuana/thc,1,0
grlsQZUDGZ44,1,2015-08,rodent poison,1,0
grlsR2FVJBB,4,2019-03,raisins,1,0
grlsR6G4GRHH,6,2021-02,medication - antidepressant,1,0
grlsR7L221DD,0,2014-12,clothing - leather,1,0
grlsR8HUB0AA,1,2015-12,rodent poison,1,0
grlsR8OMQ1AA,0,2015-02,insect poison,1,0
grlsRBSY6Q33,1,2016-05,tennis ball,1,0
grlsRDDQEK44,6,2018-08,plastic,1,0
grlsREG9VNN,0,2014-12,grapes,1,0
grlsREUM9RDD,0,2015-01,bread dough,1,0
grlsREUM9RDD,1,2016-01,deer feces,1,0
grlsRGKS99MM,1,2015-01,rodent poison,1,0
grlsRKK6YFAA,3,2016-05,chocolate,1,0
grlsRP7YX7RR,0,2013-03,tennis ball,1,0
grlsRSFVQY99,1,2015-11,unknown,1,0
grlsRTE6CR33,0,2013-04,laundry detergent,1,0
grlsRTKBF366,1,2014-12,marijuana/thc,1,0
grlsRV0M7HXX,0,2014-09,wild mushroom - unspecified,1,0
grlsS4G6BC66,0,2014-04,clothing - sock,1,0
grlsS4G6BC66,5,2019-07,potty pad,1,0
grlsS7AZ3O33,0,2014-07,wild mushroom - unspecified,1,0
grlsS7FSWYRR,2,2015-09,insect poison,1,0
grlsSD3SXI,1,2016-01,medication - thyroid medication,1,0
grlsSFAY9511,1,2015-11,rhododendron,1,0
grlsSSNHJHNN,0,2014-11,medication - advil,1,0
grlsT2P2TW66,6,2020-11,chocolate cookies,1,0
grlsT2P2TW66,7,2021-11,chocolate cookies,1,0
grlsT4M7GGFF,1,2015-04,xylitol,1,0
grlsT7R88NPP,0,2013-10,insect poison,1,0
grlsT7R88NPP,1,2014-11,insect poison,1,0
grlsT9MN8IJJ,0,2014-06,clothing - sock,1,0
grlsT9MN8IJJ,3,2017-03,"chocolate brownies, salt dough",1,0
grlsTBRVCWW,1,2015-08,grapes,1,0
grlsTCDZZ655,1,2015-08,"chapstick, plastic",1,0
grlsTCDZZ655,4,2018-09,"rabbit, plastic",1,0
grlsTFDXIW55,7,2020-09,xylitol,1,0
grlsTHCSW7CC,7,2021-05,raisins,1,0
grlsTK9649UU,0,2012-09,wild mushroom - unspecified,1,0
grlsTLHX4DRR,0,2014-06,unknown,1,0
grlsTLXIJNOO,0,2012-09,butter flavoring,1,0
grlsTNB931PP,1,2015-01,chocolate,1,0
grlsTQ10NHH,2,2017-01,fertilizer - organic,1,0
grlsTS7CG6HH,2,2014-10,unknown,1,0
grlsTTQ4VJ33,0,2013-04,unknown berry,1,0
grlsTZWAHYAA,6,2021-02,"medication - equioxx, medication - prascend",1,0
grlsU3OJ2BLL,0,2014-03,wild mushroom - unspecified,1,0
grlsU4RTY4CC,2,2016-02,medication - ibuprofen (800 mg),1,0
grlsU6VUAM00,1,2014-05,dirt,1,0
grlsU8TSK5XX,6,2020-03,bone,1,0
grlsU8WU81SS,0,2014-04,dryer sheet,1,0
grlsU9AK2966,0,2014-04,unknown,1,0
grlsUEMB2W00,1,2015-12,coolant,1,0
grlsUEQ2C066,2,2016-11,medication - antibiotic ointment,1,0
grlsUHQ4GJHH,2,2015-05,bromethalin,1,0
grlsUJFR71NN,0,2012-11,philodendron,1,0
grlsUKMB15HH,1,2015-03,brillo pad,1,0
grlsUKVTVHBB,0,2013-07,paraffin,1,0
grlsUOPU11MM,0,2014-02,grapes,1,0
grlsURFSOP88,1,2014-04,corn cob,1,0
grlsUSU15XX,7,2021-08,wild mushroom - unspecified,1,0
grlsUUEQ1BHH,1,2015-08,chocolate brownies,1,0
grlsUYQF2EXX,0,2014-09,"battery, flashlight",1,0
grlsUYQF2EXX,3,2017-10,peace lily,1,0
grlsUZMK2DKK,3,2018-01,rocks,1,0
grlsUZMK2DKK,4,2018-12,rocks,1,0
grlsV59OG6UU,2,2016-11,sago palm seed,1,0
grlsVAZVQKBB,0,2014-12,"non toxic markers, rocks",1,0
grlsVC3HXNMM,1,2015-09,acorn,1,0
grlsVC3HXNMM,2,2016-11,acorn,1,0
grlsVCOWTN99,1,2015-12,medication - previcox,1,0
grlsVEATHNJJ,2,2016-11,xylitol,1,0
grlsVGVC9DJJ,1,2015-04,"medication - chlorfenapyr, medication - cyhalothrin",1,0
grlsVH0XGX22,3,2017-11,insect poison,1,0
grlsVJY0LISS,7,2020-05,rodent poison,1,0
grlsVKDMBBXX,5,2019-08,japanese blueberry tree fruit,1,0
grlsVKGKR300,1,2016-01,tape,1,0
grlsVKGKR300,6,2021-06,epsom salt,1,0
grlsVPDBJ344,0,2014-05,rodent poison,1,0
grlsVPTVQHXX,0,2013-07,fertilizer,1,0
grlsVTEBND99,2,2015-02,rodent poison,1,0
grlsVTEBND99,5,2018-02,chocolate,1,0
grlsVX8GDI77,1,2015-09,daylilies,1,0
grlsVY18Q2MM,1,2014-08,stagnant water,1,0
grlsW10MD0NN,0,2014-10,weeping cherry tree fruit,1,0
grlsW1UT6NN,0,2014-08,insect poison,1,0
grlsW4XUWI11,5,2019-01,xylitol,1,0
grlsW4XUWI11,6,2020-02,grapes,1,0
grlsW7OHI3HH,1,2014-10,plastic,1,0
grlsW7OHI3HH,2,2015-11,plastic,1,0
grlsWGK4IN99,4,2019-01,chocolate,1,0
grlsWGK4IN99,5,2020-03,cocoa powder,1,0
grlsWGVCSJFF,5,2019-01,bone,1,0
grlsWHAB5BGG,3,2017-10,rodent poison,1,0
grlsWLIHXCQQ,0,2013-04,rodent poison,1,0
grlsWPE4ZQWW,4,2017-04,dishwasher detergent,1,0
grlsWPVNCOBB,1,2014-01,insect poison,1,0
grlsWUJPJUYY,0,2012-09,clothing - sock,1,0
grlsWUJPJUYY,1,2013-08,clothing - sock,1,0
grlsWUJPJUYY,6,2018-11,clothing - sock,1,0
grlsWUJPJUYY,7,2019-10,clothing - sock,1,0
grlsWWOAB388,1,2015-06,cement,1,0
grlsWYRHCFF,7,2020-02,gum - unknown if xylitol,1,0
grlsWYY3KF66,0,2012-10,"coffee, medication - dayquil",1,0
grlsX48RNRXX,1,2014-01,diluted window cleaner,1,0
grlsX5T7YYPP,0,2015-01,"medication - chlorphenamine, medication - diphenhydramine",1,0
grlsX73QS1QQ,2,2014-11,unknown,1,0
grlsXBV6QUPP,0,2015-01,ballpoint pen,1,0
grlsXBV6QUPP,1,2016-01,ballpoint pen,1,0
grlsXBV6QUPP,5,2020-01,bread dough,1,0
grlsXC3VFX77,6,2020-09,macadamia nut,1,0
grlsXGGLTFZZ,0,2013-12,chocolate,1,0
grlsXH1O4977,1,2015-08,paintballs,1,0
grlsXH96IWEE,5,2019-10,grapes,1,0
grlsXH96IWEE,6,2021-10,grapes,1,0
grlsXINS7GTT,2,2016-03,medication - adams flea & tick collar,1,0
grlsXISA2YRR,6,2019-03,sheetrock,1,0
grlsXMAH0MBB,0,2013-11,wild mushroom - unspecified,1,0
grlsXMRZ85II,3,2016-09,insect poison,1,0
grlsXMRZ85II,5,2019-08,fruit pit - peach,1,0
grlsXRKVV33,0,2014-02,ice/heat pack,1,0
grlsXRKVV33,1,2015-02,cooling pad,1,0
grlsXRKVV33,4,2018-03,rodent poison,1,0
grlsXRMCGIKK,0,2014-09,mistletoe,1,0
grlsXSX19FGG,0,2014-03,baking chocolate,1,0
grlsXSX19FGG,2,2016-03,cushion/bed foam,1,0
grlsXVAOE6KK,6,2019-02,marijuana/thc,1,0
grlsXZJJ94DD,1,2014-01,grapes,1,0
grlsXZJJ94DD,2,2015-04,rodent poison,1,0
grlsY2FM1GBB,0,2014-02,plantain lilies,1,0
grlsY2FM1GBB,5,2019-08,"chocolate, coffee, bread dough",1,0
grlsY2FM1GBB,6,2021-02,rice,1,0
grlsY2FM1GBB,7,2021-08,rice,1,0
grlsY3EHL211,3,2017-06,rodent poison,1,0
grlsY3EHL211,4,2018-07,unknown,1,0
grlsY5DTE6JJ,1,2015-07,rocks,1,0
grlsY7QXGVLL,4,2017-03,goo gone,1,0
grlsY8H6EQFF,4,2017-10,fertilizer,1,0
grlsY91XJB33,3,2016-03,rocks,1,0
grlsY91XJB33,7,2020-07,rocks,1,0
grlsY9D83G11,3,2017-08,portulaca,1,0
grlsY9D83G11,4,2018-08,portulaca,1,0
grlsY9QUTVKK,6,2019-02,insect poison,1,0
grlsYDU6FUQQ,0,2014-06,chlorine,1,0
grlsYFWBND88,0,2014-09,medication - horse medication,1,0
grlsYLUNOS33,0,2012-05,wild mushroom - unspecified,1,0
grlsYMC2WERR,0,2014-11,gum - unknown if xylitol,1,0
grlsYNJ5HP33,5,2018-01,glass,1,0
grlsYRNIC1RR,0,2014-12,unknown,1,0
grlsYSYXJN00,0,2014-04,chocolate,1,0
grlsYSYXJN00,3,2017-09,bone,1,0
grlsYTA0SGJJ,0,2013-03,"garlic, clothing - shoe lace",1,0
grlsYTFYREXX,4,2017-06,chocolate,1,0
grlsYTIKZWII,1,2015-10,unknown,1,0
grlsYY0S6W44,0,2014-11,wild mushroom - unspecified,1,0
grlsYYKL9EMM,0,2013-02,rodent poison,1,0
grlsZ03WC1OO,0,2012-05,wild mushroom - unspecified,1,0
grlsZ5EFYFLL,0,2015-02,carpet,1,0
grlsZ5EFYFLL,2,2017-02,decorative winterberry,1,0
grlsZ7OXSYCC,6,2019-12,adhesive putty,1,0
grlsZ8LP0TYY,2,2015-02,black widow,1,0
grlsZIRB97LL,2,2017-01,penny,1,0
grlsZJD8DKEE,0,2012-10,fiberglass insulation,1,0
grlsZJLLWNRR,5,2018-05,"medication - protopic ointment, raisins",1,0
grlsZJLLWNRR,6,2019-05,bird wing,1,0
grlsZJU5H900,1,2015-04,mole worm,1,0
grlsZJU5H900,2,2016-03,mole worm,1,0
grlsZK5TZBB,7,2021-02,medication - naprosyn,1,0
grlsZLLUNLII,1,2013-10,medication - rimadyl,1,0
grlsZNHICC44,0,2014-04,fertilizer,1,0
grlsZP8YMJXX,0,2014-12,fertilizer,1,0
grlsZPGQ2BB,6,2020-05,bromethalin,1,0
grlsZQDR8U77,0,2014-10,"cigarette, grapes",1,0
grlsZTVI29JJ,1,2016-01,clothing - zipper,1,0
grlsZV195TEE,0,2015-01,granular absorbents,1,0
grlsZV195TEE,1,2016-02,granular absorbents,1,0
grlsZY5KYKXX,2,2015-12,chocolate,1,0
