subject_id,year_in_study,record_date,any_vaccine,administered,type,type_other_specify
grls00NB23WW,0,2014-01,1,2013-06,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls00NB23WW,0,2014-01,1,2013-06,rabies (3 year),
grls00NB23WW,1,2015-01,0,,,
grls00NB23WW,2,2016-02,1,2015-07,bordetella bronchiseptica,
grls00NB23WW,2,2016-02,1,2015-07,borrelia burgdorferi,
grls00NB23WW,2,2016-02,1,,bordetella bronchiseptica,
grls01C2L8RR,0,2014-08,1,2014-04,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01C2L8RR,0,2014-08,1,2014-06,borrelia burgdorferi,
grls01C2L8RR,0,2014-08,1,2014-07,rabies (1 year),
grls01C2L8RR,1,2015-08,1,2015-07,rabies (3 year),
grls01C2L8RR,1,2015-08,1,2015-07,borrelia burgdorferi,
grls01C2L8RR,1,2015-08,1,2015-07,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01C2L8RR,2,2016-09,0,,,
grls01C2L8RR,3,2017-08,1,,"bordetella bronchiseptica, parainfluenza",
grls01C2L8RR,3,2017-08,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01C2L8RR,4,2018-08,1,2018-07,rabies (3 year),
grls01C2L8RR,5,2019-08,0,,,
grls01C2L8RR,6,2020-09,0,,,
grls01C2L8RR,7,2021-08,0,,,
grls01LNL888,0,2013-10,1,2013-10,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls01LNL888,0,2013-10,1,2013-10,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01LNL888,0,2013-10,1,2013-10,rabies (3 year),
grls01LNL888,1,2014-09,1,2014-09,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01LNL888,2,2015-10,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01LNL888,3,2016-10,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01LNL888,3,2016-10,1,,rabies (3 year),
grls01LNL888,4,2017-11,1,2017-05,bordetella bronchiseptica,
grls01LNL888,4,2017-11,1,,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01LNL888,5,2018-10,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01LNL888,6,2019-10,1,,rabies (3 year),
grls01LNL888,6,2019-10,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01LNL888,7,2020-11,0,,,
grls01LNL888,8,2021-09,0,,,
grls01RDAKNN,0,2015-01,1,2014-08,rabies (1 year),
grls01RDAKNN,0,2015-01,1,2014-10,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01RDAKNN,0,2015-01,1,2014-08,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls01RDAKNN,0,2015-09,1,2015-09,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls01RDAKNN,0,2015-09,1,2015-09,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01RDAKNN,0,2015-09,1,2015-09,rabies (3 year),
grls01RDAKNN,1,2016-02,1,,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls01RDAKNN,1,2016-02,1,,rabies (3 year),
grls01RDAKNN,1,2016-02,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls01RDAKNN,2,2017-01,0,,,
grls01RDAKNN,3,2018-02,0,,,
grls01RDAKNN,4,2019-01,1,2018-09,rabies (3 year),
grls01RDAKNN,5,2020-01,0,,,
grls01RDAKNN,6,2021-01,1,2020-09,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls01RDAKNN,7,2022-01,1,2021-09,rabies (3 year),
grls01RDAKNN,8,2023-01,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls020IW1ZZ,0,2015-01,1,2014-09,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls020IW1ZZ,0,2015-01,1,2014-10,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls020IW1ZZ,0,2015-01,1,2014-10,bordetella bronchiseptica,
grls020IW1ZZ,0,2015-01,1,2014-10,borrelia burgdorferi,
grls020IW1ZZ,0,2015-01,1,2014-10,rabies (1 year),
grls020IW1ZZ,0,2015-01,1,2014-11,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls020IW1ZZ,1,2016-02,1,2015-10,bordetella bronchiseptica,
grls020IW1ZZ,1,2016-02,1,2015-10,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls020IW1ZZ,1,2016-02,1,2015-10,borrelia burgdorferi,
grls020IW1ZZ,1,2016-02,1,2015-10,rabies (3 year),
grls020IW1ZZ,2,2017-02,1,,"bordetella bronchiseptica, parainfluenza",
grls020IW1ZZ,2,2017-02,1,,borrelia burgdorferi,
grls020IW1ZZ,2,2017-02,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls020IW1ZZ,3,2018-03,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls020IW1ZZ,3,2018-03,1,,"adenovirus type 2, bordetella bronchiseptica, parainfluenza",
grls020IW1ZZ,3,2018-03,1,,borrelia burgdorferi,
grls020IW1ZZ,3,2018-03,1,,"canine distemper, adenovirus type 2, parvovirus",
grls020IW1ZZ,4,2019-02,0,,,
grls020IW1ZZ,5,2020-02,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls020IW1ZZ,5,2020-02,1,,borrelia burgdorferi,
grls02RRJK88,0,2013-06,1,2013-06,rabies (3 year),
grls02RRJK88,0,2013-06,1,2013-06,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls02RRJK88,0,2013-06,1,2013-06,other,crotalus atrox toxoid
grls02RRJK88,1,2014-10,1,2014-10,"bordetella bronchiseptica, parainfluenza",
grls02RRJK88,1,2014-10,1,2014-10,rattlesnake venin,
grls02RRJK88,2,2015-08,1,,"bordetella bronchiseptica, parainfluenza",
grls02RRJK88,2,2015-08,1,,other,crotalus atrox toxoid
grls02RRJK88,3,2016-08,1,,bordetella bronchiseptica,
grls02RRJK88,3,2016-08,1,,rabies (3 year),
grls02RRJK88,3,2016-08,1,,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls02RRJK88,3,2016-08,1,,rattlesnake venin,
grls02RRJK88,4,2017-08,1,,bordetella bronchiseptica,
grls02RRJK88,4,2017-08,1,,rattlesnake venin,
grls02RRJK88,5,2018-08,1,,bordetella bronchiseptica,
grls02RRJK88,5,2018-08,1,,rattlesnake venin,
grls02RRJK88,6,2019-09,1,,bordetella bronchiseptica,
grls02RRJK88,6,2019-09,1,,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls02RRJK88,6,2019-09,1,,rabies (3 year),
grls02RRJK88,6,2019-09,1,2019-09,rattlesnake venin,
grls02RRJK88,7,2020-07,1,,other,crotalus atrox toxoid
grls02RRJK88,8,2021-09,1,,bordetella bronchiseptica,
grls02RRJK88,8,2021-09,1,,other,crotalus atrox toxoid
grls02VDCV99,0,2013-02,1,2012-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls02VDCV99,0,2013-02,1,2012-06,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls02VDCV99,0,2013-02,1,2012-06,rabies (3 year),
grls02VDCV99,1,2014-02,1,2013-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls02VDCV99,2,2015-02,1,2014-06,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls02VDCV99,2,2015-02,1,2014-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls02VDCV99,3,2016-02,1,2015-06,rabies (3 year),
grls02VDCV99,3,2016-02,1,2015-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls02VDCV99,3,2016-02,1,2015-06,bordetella bronchiseptica,
grls02VDCV99,4,2017-02,1,2016-06,"canine distemper, adenovirus type 2, parvovirus",
grls02VDCV99,4,2017-02,1,2016-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls02VDCV99,5,2018-02,1,2017-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls02VDCV99,6,2019-02,1,2018-06,"canine distemper, adenovirus type 2, parvovirus",
grls02VDCV99,6,2019-02,1,2018-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls02VDCV99,6,2019-02,1,2018-06,rabies (3 year),
grls02VDCV99,7,2020-02,1,2019-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls02VDCV99,8,2021-02,1,2020-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03L3L1FF,0,2013-11,1,2013-07,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls03L3L1FF,0,2013-11,1,2013-07,bordetella bronchiseptica,
grls03L3L1FF,0,2013-11,1,2013-08,rabies (1 year),
grls03L3L1FF,0,2013-11,1,2013-08,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03L3L1FF,1,2014-12,1,2014-08,bordetella bronchiseptica,
grls03L3L1FF,1,2014-12,1,2014-08,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03L3L1FF,1,2014-12,1,2014-08,rabies (1 year),
grls03L3L1FF,1,2014-12,1,2014-09,rabies (3 year),
grls03MTKHLL,0,2014-04,1,2013-10,rabies (1 year),
grls03MTKHLL,0,2014-04,1,2013-09,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03MTKHLL,0,2014-04,1,2013-10,bordetella bronchiseptica,
grls03MTKHLL,1,2015-04,1,2014-08,"canine distemper, parvovirus",
grls03MTKHLL,1,2015-04,1,2014-10,rabies (3 year),
grls03MTKHLL,1,2015-04,1,2014-08,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03MTKHLL,1,2015-04,1,2014-10,"adenovirus type 2, bordetella bronchiseptica, parainfluenza",
grls03MTKHLL,2,2016-04,1,2015-10,bordetella bronchiseptica,
grls03MTKHLL,2,2016-04,1,2015-08,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03MTKHLL,3,2017-03,1,2016-11,"adenovirus type 2, bordetella bronchiseptica, parainfluenza",
grls03MTKHLL,3,2017-03,1,2016-08,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03MTKHLL,4,2018-05,1,2017-10,rabies (3 year),
grls03MTKHLL,4,2018-05,1,2017-10,bordetella bronchiseptica,
grls03MTKHLL,4,2018-05,1,2017-09,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls03MTKHLL,4,2018-05,1,2017-09,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03MTKHLL,5,2019-04,1,2018-10,bordetella bronchiseptica,
grls03MTKHLL,5,2019-04,1,2018-10,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03MTKHLL,6,2020-04,1,2019-10,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03MTKHLL,6,2020-04,1,2019-10,bordetella bronchiseptica,
grls03MTKHLL,7,2021-05,1,2020-08,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls03MTKHLL,7,2021-05,1,2020-10,rabies (3 year),
grls03MTKHLL,7,2021-05,1,2020-10,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03MTKHLL,7,2021-05,1,,bordetella bronchiseptica,
grls03UREW44,0,2014-06,1,2013-08,rabies (1 year),
grls03UREW44,0,2014-06,1,2013-08,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03UREW44,0,2014-06,1,2014-01,bordetella bronchiseptica,
grls03UREW44,1,2015-09,0,,,
grls03UREW44,2,2016-07,0,,,
grls03UREW44,4,2018-06,0,,,
grls03UREW44,5,2019-07,1,2019-05,bordetella bronchiseptica,
grls03UREW44,5,2019-07,1,2019-05,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03UREW44,6,2021-08,1,2020-05,rabies (3 year),
grls03UREW44,6,2021-08,1,2020-05,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls03UREW44,6,2021-08,1,2020-04,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03UREW44,6,2021-08,1,2020-04,"bordetella bronchiseptica, parainfluenza",
grls03UREW44,7,2021-08,1,2021-04,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls03UREW44,7,2021-08,1,2021-04,"bordetella bronchiseptica, parainfluenza",
grls03UREW44,8,2022-08,0,,,
grls0449M0EE,0,2015-01,1,2013-10,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls0449M0EE,0,2015-01,1,2013-10,bordetella bronchiseptica,
grls0449M0EE,0,2015-01,1,2013-10,rabies (1 year),
grls04DN2S55,0,2014-12,1,2014-04,canine parvovirus,
grls04DN2S55,0,2014-12,1,2014-05,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls04DN2S55,0,2014-12,1,2014-05,bordetella bronchiseptica,
grls04DN2S55,0,2014-12,1,2014-06,rabies (1 year),
grls04DN2S55,0,2014-12,1,2014-05,borrelia burgdorferi,
grls04DN2S55,1,2016-01,1,,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04DN2S55,1,2016-01,1,,borrelia burgdorferi,
grls04DN2S55,1,2016-01,1,,rabies (3 year),
grls04DN2S55,3,2018-01,1,,bordetella bronchiseptica,
grls04DN2S55,3,2018-01,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04DN2S55,3,2018-01,1,,canine influenza (unspecified),
grls04DN2S55,4,2019-01,1,,"canine distemper, adenovirus type 2, coronavirus, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04DN2S55,4,2019-01,1,,bordetella bronchiseptica,
grls04DN2S55,4,2019-01,1,,canine influenza (unspecified),
grls04DN2S55,7,2021-12,1,,"bordetella bronchiseptica, parainfluenza",
grls04DN2S55,8,2023-03,1,,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls04DN2S55,8,2023-03,1,,rabies (3 year),
grls04KX35EE,0,2013-03,1,2012-07,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04KX35EE,0,2013-03,1,2012-06,bordetella bronchiseptica,
grls04KX35EE,1,2014-02,1,2013-06,rabies (3 year),
grls04KX35EE,1,2014-02,1,2013-06,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04KX35EE,1,2014-02,1,2013-06,bordetella bronchiseptica,
grls04KX35EE,2,2015-02,1,2014-06,bordetella bronchiseptica,
grls04KX35EE,2,2015-02,1,2014-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04KX35EE,2,2015-07,1,2015-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04KX35EE,2,2015-07,1,2015-06,bordetella bronchiseptica,
grls04KX35EE,3,2016-01,1,2015-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04KX35EE,3,2016-01,1,2015-06,bordetella bronchiseptica,
grls04KX35EE,4,2017-02,1,2016-07,rabies (3 year),
grls04KX35EE,4,2017-02,1,2016-07,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04KX35EE,4,2017-02,1,2016-07,bordetella bronchiseptica,
grls04KX35EE,5,2018-02,1,2017-07,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04KX35EE,5,2018-02,1,2017-07,bordetella bronchiseptica,
grls04KX35EE,5,2018-02,1,2017-07,canine influenza (unspecified),
grls04KX35EE,5,2018-09,1,2018-07,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04KX35EE,5,2018-09,1,2018-07,bordetella bronchiseptica,
grls04KX35EE,5,2018-09,1,2018-07,other,canine influenza (unspecified)
grls04KX35EE,5,2018-11,1,2018-07,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04KX35EE,5,2018-11,1,2018-07,bordetella bronchiseptica,
grls04KX35EE,6,2019-01,0,,,
grls04KX35EE,7,2020-01,1,2019-07,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls04KX35EE,7,2020-01,1,2019-07,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04KX35EE,7,2020-01,1,2019-07,bordetella bronchiseptica,
grls04KX35EE,7,2020-01,1,2019-07,canine influenza (unspecified),
grls04O1IQ00,0,2014-12,1,2014-07,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls04O1IQ00,0,2014-12,1,2014-07,bordetella bronchiseptica,
grls04O1IQ00,0,2014-12,1,2014-08,rabies (1 year),
grls04O1IQ00,1,2015-11,1,2015-08,rabies (3 year),
grls04O1IQ00,1,2015-11,1,2015-08,bordetella bronchiseptica,
grls04O1IQ00,1,2015-11,1,2015-08,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls04O1IQ00,2,2016-11,1,2016-08,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls04O1IQ00,2,2016-11,1,2016-08,bordetella bronchiseptica,
grls04O1IQ00,3,2017-12,1,2017-07,bordetella bronchiseptica,
grls04O1IQ00,4,2019-01,1,2018-07,bordetella bronchiseptica,
grls04O1IQ00,4,2019-01,1,2018-07,rabies (3 year),
grls04O1IQ00,4,2019-01,1,2018-07,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04O1IQ00,5,2019-12,1,2019-07,bordetella bronchiseptica,
grls04O1IQ00,5,2019-12,1,2019-07,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04O1IQ00,5,2019-12,1,2019-04,canine influenza (unspecified),
grls04O1IQ00,5,2019-12,1,2019-07,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls04O1IQ00,6,2020-12,1,,bordetella bronchiseptica,
grls04O1IQ00,7,2021-11,1,2021-06,rabies (3 year),
grls04O1IQ00,7,2021-11,1,2021-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls04O1IQ00,7,2021-11,1,2021-03,canine influenza (unspecified),
grls04O1IQ00,7,2021-11,1,2021-06,bordetella bronchiseptica,
grls04O1IQ00,8,2022-11,1,2022-05,canine influenza (unspecified),
grls04O1IQ00,8,2022-11,1,2022-06,bordetella bronchiseptica,
grls04O1IQ00,8,2022-11,1,2022-06,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls04O1IQ00,8,2022-11,1,2022-06,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls053MV8EE,0,2014-04,1,2014-04,rabies (3 year),
grls056TCYEE,0,2014-11,1,2014-02,"canine distemper, adenovirus type 2, parainfluenza, parvovirus, leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls056TCYEE,0,2014-11,1,2014-02,rabies (1 year),
grls05BPCYNN,0,2013-10,1,2013-05,rabies (3 year),
grls05BPCYNN,0,2013-10,1,2013-07,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls05BPCYNN,0,2013-10,1,2012-03,"canine distemper, adenovirus type 2, parvovirus",
grls05BPCYNN,1,2014-09,1,2014-03,"adenovirus type 2, bordetella bronchiseptica, parainfluenza",
grls05BPCYNN,1,2014-09,1,2014-09,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls05BPCYNN,2,2015-10,1,,"adenovirus type 2, bordetella bronchiseptica, parainfluenza",
grls05BPCYNN,2,2015-10,1,,borrelia burgdorferi,
grls05BPCYNN,2,2015-10,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls05BPCYNN,3,2016-10,1,2015-10,borrelia burgdorferi,
grls05BPCYNN,3,2016-10,1,2016-05,rabies (3 year),
grls05BPCYNN,4,2017-10,1,,"adenovirus type 2, bordetella bronchiseptica, parainfluenza",
grls05BPCYNN,4,2017-10,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls05BPCYNN,4,2017-10,1,,borrelia burgdorferi,
grls05BPCYNN,5,2018-10,1,2018-07,canine influenza (unspecified),
grls05BPCYNN,5,2018-10,1,,"adenovirus type 2, bordetella bronchiseptica, parainfluenza",
grls05BPCYNN,5,2018-10,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls05BPCYNN,5,2018-10,1,,borrelia burgdorferi,
grls05BPCYNN,6,2020-01,1,2019-04,rabies (3 year),
grls05BPCYNN,6,2020-01,1,,"adenovirus type 2, bordetella bronchiseptica, parainfluenza",
grls05BPCYNN,6,2020-01,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls05BPCYNN,6,2020-01,1,,borrelia burgdorferi,
grls05BPCYNN,7,2020-11,1,,canine influenza (unspecified),
grls05BPCYNN,7,2020-11,1,,other,"canine distemper, adenovirus type 2, parvovirus"
grls05BPCYNN,8,2021-10,1,,canine influenza (unspecified),
grls05BPCYNN,8,2021-10,1,,borrelia burgdorferi,
grls05BPCYNN,8,2021-10,1,,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls06YF0BSS,0,2013-05,1,2013-01,bordetella bronchiseptica,
grls06YF0BSS,0,2013-05,1,2013-01,rabies (1 year),
grls06YF0BSS,0,2013-05,1,2012-12,borrelia burgdorferi,
grls06YF0BSS,0,2013-05,1,2012-12,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls06YF0BSS,0,2013-05,1,2012-11,"canine distemper, adenovirus type 2, parainfluenza, parvovirus",
grls06YF0BSS,0,2013-05,1,2012-10,canine parvovirus,
grls06YF0BSS,1,2014-04,1,2014-03,"leptospirosis 4 (canicola, grippotyphosa, icterohaemorrhagiae, pomona)",
grls06YF0BSS,2,2015-07,0,,,
grls06YF0BSS,3,2016-06,1,2016-05,bordetella bronchiseptica,
